Id_index,Job_Title,company,Sector,region,technologies,skills,certifications,soft_skills,languages,experience_years,Type_Contrat,level_study,Tasks,source
178,Data Analyst,alten,Technology and IT Services,Rabat-Salé-Kénitra,Not Specified,Not Specified,,"Communication, Autonomy","French, English",Not Specified,NOT SPECIFIED,Not Specified,Not Specified,Jobrapido
179,Data Analyst,,,Rabat-Salé-Kénitra,"Python, Spark, AWS, S3, Glue, Athena, Redshift, Aurora, Lambda, IAM, EventBridge, Airflow, Git, CI/CD, Iceberg, SQL, Terraform, CloudFormation, SQS, SNS","Python, Spark, AWS, S3, Glue, Athena, Redshift, Aurora, Lambda, IAM, EventBridge, Airflow, Git, CI/CD, Spark, Iceberg tables, SQL, Terraform, CloudFormation, EventBridge, Lambda, SQS, SNS",,"Communication, Project management, Strategic thinking, Autonomy, Reflection, Ambition, Implication",Not Specified,5 ans,CDI,Bac +5,"Collaborate with cross-functional teams, Define data requirements, pipeline design, and solutions, Design, implement, and maintain scalable ETL pipelines, Manage complex data workflows and dependencies, Build and maintain cloud-native, scalable, and cost-effective data infrastructure, Integrate and optimize data flows across various AWS services, Ensure data quality, governance, and compliance standards are met, Take ownership of the end-to-end lifecycle of data pipelines, Collaborate closely with Data Science teams to operationalize models, Ensure strong documentation practices and follow best practices for scalability, maintainability, and cost management.",Option Carriere
180,Data Analyst,alten,Technology and IT Services,Rabat-Salé-Kénitra,"Power BI, GCP, SQL, DAX","Power BI, GCP, SQL, DAX",,"Communication, Problem solving, Teamwork, Adaptability",English,1 an,CDI,Bac +5,"Développement des KPIs, Analyse et digitalisation des processus de déploiement de diverses technologies, Collection et organisation de données issues de différentes sources, Développement de rapports Power BI, Collaboration avec les départements fonctionnels et les équipes techniques.",Option Carriere
181,Data Analyst,alten,Technology and IT Services,Rabat-Salé-Kénitra,Not Specified,Not Specified,,Professional integration,Not Specified,Not Specified,NOT SPECIFIED,Bac +5,Not Specified,Jobrapido
182,Data Analyst,alten,Technology and IT Services,Rabat-Salé-Kénitra,"Power BI, GCP, SQL, DAX","Power BI, GCP, SQL, DAX",,"Communication, Problem solving, Teamwork, Adaptability, Learning, Ownership, Accountability","English, French",1 an,CDI,Bac +5,"Développement des KPIs, Analyse et difitalisation des processus de déploiement de diverses technologies, Collection et organisation de données issues de différentes sources, Développement de rapports Power BI, Collaboration avec les départements fonctionnels et les équipes techniques.",Option Carriere
183,Data Analyst,safran,Aerospace and Defense,Casablanca-Settat,Excel,"Excel, Data, Reporting, Français, Anglais",,"Capacité d’analyse, Esprit de synthèse, Rédactionnel, Capacité de collaboration, Force de proposition, Réactivité","German, English",1 an,NOT SPECIFIED,Not Specified,"Mise en place et suivi des KPI Achats, Suivi des implémentations des outils digitaux groupe, Suivi de la tenue des Réunions hebdomadaires et envoi des CR, Actualisation portail grille tarifaire avec les éléments fournis par l'acheteur, Extraction journalière DSO et Alerte / KPI, Suivi de l'Archivage sur l'espace de partage, Reporting contractuel / Alerte de l'existant date d'échéance",indeed
184,Data Analyst,safran,Aerospace and Defense,Casablanca-Settat,Not Specified,"- Experience conducting quantitative analysis
- Experience with analyzing large datasets
- Proficiency in statistical analysis software
- Strong written and verbal communication skills
- Ability to work independently and in a team setting
- Strong attention to detail and accuracy",,Languages: english,"German, French",Not Specified,CDI,Not Specified,"- Edit and proofread online content
- Write copy for websites, social media, and email campaigns
- Conduct research to develop content ideas
- Collaborate with team members on content strategy and projects
- Assist in creating and implementing content calendars and schedules",Glassdoor
185,Data Analyst,société générale maroc,Financial Services,Casablanca-Settat,Not Specified,Not Specified,,"Teamwork, Communication, Problem solving","English, German",2 ans,NOT SPECIFIED,Bac +5,"Point d’entrée des travaux \& projets de l’ALM (Evolution des SI, projets réglementaires ou de pilotage financier), Recette bancaire des métriques des projets et des évolutions des outils ALM, Lien entre les outils et l’équipe production dans le but d'instaurer un processus d'amélioration continue des reportings et des TDB, formation des équipes sur les nouveaux métriques et nouveaux reportings, Automatisation et optimisation des outils de production des indicateurs ALM, Maintenance évolutive des outils adhoc ALM (bases de données, outils de référence…) vs nouveaux besoins ALM, Référence de l’outil ALM Fusion Risk, correspondant avec le Groupe et les différents métiers, Calcul des taux de cession internes et Analyse des marges.",linkedin
186,Data Analyst,crit,Recruitment,Casablanca-Settat,"SQL, Python, Excel","SQL, Python, Excel",,"Sens du reporting, Sens des priorités, Pédagogue, Ouvert, Méthodique, Rigoureux, Sens du service, Bon relationnel","French, English",Not Specified,CDI,Not Specified,"Être le réfèrent Power BI France, Réaliser le support sur les Power BI existants, Réaliser de nouveaux rapports BI pour les métiers et les clients de l'entreprise, Assurer la maintenance et la gestion des sources de données, Gérer la roadmap et les priorités des sujets BI, Définition des besoins des métiers, Définition de solutions innovantes, Animation des réunions de suivi de projet et de travail, Coordonner les activités de formation et de support pour les utilisateurs finaux, Création des guides utilisateurs.",Option Carriere
187,Data Analyst,ste arfiq des energies renouvelables et ameublements,Energy and Commodities,Rabat-Salé-Kénitra,Excel,"Excel, analyse de données, chiffres, données, communication, présentation",,Not Specified,Not Specified,Not Specified,CDI,Bac +5,"Collecter et organiser les données nécessaires à l'analyse, Analyser les données pour identifier des tendances et des insights pertinents, Préparer des rapports et des présentations clairs et concis basés sur les analyses effectuées, Collaborer avec les différents départements pour fournir des recommandations basées sur les données, Contribuer à l'amélioration continue des processus d'analyse de données.",google
188,Data Analyst,amspec morocco,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Communication, Initiative, Autonomy",French,Not Specified,NOT SPECIFIED,Not Specified,"Recueil et extraction des données, Traitement, exploitation et intégration des données dans le NAS de l’entreprise, Création des Dashboard, mise en place de KPIs et reporting des performances des différents services, Mise en place de process/requêtes et automatisation des activités de l’entreprise, Production d’analyses métiers et de recommandations aux managers, Gestion des outils d’analyses pour que les décideurs internes et clients puissent suivre l’évolution des prestations d’AmSpec Morocco, Veille technologique des nouveaux outils visant à l’améliorer l’analyse des données, Assurer l’élaboration, la gestion et le pilotage de l’activité des laboratoires mobiles, Rédaction et l’élaboration des procédures IT de l’entreprise, Gestion et l’amélioration des tableaux de bord et Power BI, Participer à l’élaboration de la politique qualité de Amspec Morocco, Suivi régulier des indicateurs de performance et proposer les actions correctives afférentes, Entreprendre toutes les actions nécessaires rentrant dans le périmètre de ses fonctions, Gérer principalement l’exploitation des informations collectées, Créer les bases de données nécessaires à l’entreprise, Créer, administrer, analyser les données de l’entreprise, Analyser les données brutes pour aider à la prise de décision et prendre un avantage compétitif, Jouer un rôle important au sein du service information pour garantir la qualité et cohérence des données de la structure.",google
189,Data Analyst,alten,Technology and IT Services,Rabat-Salé-Kénitra,"Oracle, Power BI","Oracle data modelling, Power BI, English skills",,"Collaboration, Autonomy, Communication, Coordination","French, English",5 ans,NOT SPECIFIED,Not Specified,"Support data modelling for oracle databases, Development in Oracle environment/oracle Datalake for analytics usecases, where Data is later presented with Power BI.",google
190,Data Analyst,infomineo,Technology and IT Services,Casablanca-Settat,"Python, SQL, Excel, Hadoop, Hortonworks, Cloudera, Spark, Scala, PySpark, Pig, Hive, Impala, Snowflake, SAS, R, Javascript, Power BI, Tableau, Looker, QlikView, Git, Github, Gitlab","Python, SQL, Excel, Hadoop, Hortonworks, Cloudera, Spark, Scala, PySpark, Pig, Hive, Impala, Snowflake, SAS, R, Javascript, Power BI, Tableau, Looker, QlikView, Git, Github, Gitlab",,Communication,Not Specified,0 ans,NOT SPECIFIED,Bac +5,"Contribute to the design of the technical solution chosen to collect, analyze data, and display the results obtained, Propose solutions and strategies to tackle business challenges, Present results in a clear manner, Clean and prepare the data with the Data Scientists, Collect and transform data from the various sources available in big data environments, Provide data visualization to inform business decisions, Analyze and interpret data to extract complex relationships and trends, Optimize data exploration using Machine Learning techniques, Adapt and integrate analytics models into the client's IS environment, Assist the IT teams in all phases of the production, maintenance and updating of the models developed",linkedin
191,Data Analyst,digital virgo,Technology and IT Services,Casablanca-Settat,"Excel, SQL, Python, Tableau, Looker","Excel, SQL, Python, Tableau, Looker",,Not Specified,Not Specified,Not Specified,NOT SPECIFIED,Bac +5,Not Specified,google
192,Data Analyst,domino hr morocco,Recruitment,Casablanca-Settat,"Python, SQL, Power BI, Tableau, R","Python, SQL, Power BI, Tableau, R, data mining, machine learning, BI, statistiques, mathématiques, gestion de bases de données, analyse de données, résolution de problèmes, communication, collaboration.",,Not Specified,English,3 ans,NOT SPECIFIED,Bac +5,"Collecter et analyser les données provenant de diverses sources, Développer et maintenir des modèles d'analyse prédictive et descriptive, Créer des rapports et des visualisations de données clairs et concis pour communiquer vos résultats, Identifier les tendances et les anomalies dans les données, Proposer des recommandations basées sur vos analyses pour améliorer les processus et les performances, Collaborer avec les équipes internes pour intégrer vos analyses dans leurs processus décisionnels",google
193,Data Analyst,red tic,Technology and IT Services,Casablanca-Settat,"SQL Server, SSIS, SSAS","SQL Server, SSIS, SSAS.",,"Communication, Interpersonal skills, Organizational skills, Flexibility, Problem solving","English, French, German, Arabic, Spanish, Italian, Portuguese",Not Specified,CDI,Bac +5,"Concevoir et implémenter des flux de données ETL dans un environnement Microsoft (SSIS, SQL Server), Élaborer des requêtes et scripts SQL, Développer des tableaux de bord SSAS, Collaborer étroitement avec les équipes métiers.",google
194,Data Analyst,trusted advisors,Consulting,Casablanca-Settat,"Python, SQL, Power BI, Tableau","Python, SQL, BI (ex: Power BI, Tableau), data mining, machine learning",,"Initiative, Proactivity, Analysis, Critical thinking, Attention to detail, Rigor, Communication, Curiosity, Learning ability, Listening, Teamwork, Autonomy, Organization","French, English",3 ans,CDI,Bac +5,"Collecter et analyser les données provenant de diverses sources, Développer et maintenir des modèles d'analyse prédictive et descriptive, Créer des rapports et des visualisations de données clairs et concis pour communiquer vos résultats, Identifier les tendances et les anomalies dans les données, Proposer des recommandations basées sur vos analyses pour améliorer les processus et les performances, Collaborer avec les équipes internes pour intégrer vos analyses dans leurs processus décisionnels.",Option Carriere
195,Data Analyst,attijariwafa bank,Financial Services,Not Specified,Not Specified,Not Specified,,"Communication, Teamwork, Collaboration, Problem solving, Esprit d’équipe",Not Specified,Not Specified,NOT SPECIFIED,Not Specified,Not Specified,indeed
196,Data Analyst,adm value,Services,Rabat-Salé-Kénitra,"Power BI, Python, SQL, Pandas, NumPy, Matplotlib","Power BI, Python, SQL, Pandas, NumPy, Matplotlib",,Collaboration,Not Specified,5 ans,CDI,Bac +5,"Concevoir des tableaux de bord interactifs avec Power BI, Automatiser et optimiser les processus de traitement de données en utilisant Python, Analyser et interpréter des données complexes, Assurer la gestion et la structuration des bases de données, Collaborer avec les différentes équipes, Mettre en place des modèles prédictifs et des analyses avancées.",indeed
197,Data Analyst,adm value,Services,Rabat-Salé-Kénitra,"Power BI, Python, DAX, Pandas, NumPy, Matplotlib, SQL","Power BI, Python, DAX, Pandas, NumPy, Matplotlib, SQL, statistiques, analyse de données, informatique décisionnelle, génie informatique, autonomie, solutions innovantes",,"Esprit d'équipe, Collaboration, Communication, Problem solving",Not Specified,Not Specified,CDD,Bac +5,"Concevoir, développer et maintenir des tableaux de bord interactifs avec Power BI, Automatiser et optimiser les processus de traitement de données en utilisant Python, Analyser et interpréter des données complexes afin de fournir des recommandations stratégiques, Assurer la gestion et la structuration des bases de données pour garantir une accessibilité et une cohérence optimales, Collaborer étroitement avec les différentes équipes pour comprendre leurs besoins et proposer des solutions adaptées, Mettre en place des modèles prédictifs et des analyses avancées pour soutenir la prise de décision.",indeed
198,Data Analyst,adm value,Services,Rabat-Salé-Kénitra,"Power BI, Python, SQL, Pandas, NumPy, Matplotlib","Power BI, Python, SQL, Pandas, NumPy, Matplotlib",,"Teamwork, Communication, Leadership, Problem solving",Not Specified,3 ans,CDI,Bac +5,"Concevoir, développer et maintenir des tableaux de bord interactifs avec Power BI, Automatiser et optimiser les processus de traitement de données en utilisant Python, Analyser et interpréter des données complexes afin de fournir des recommandations stratégiques, Assurer la gestion et la structuration des bases de données pour garantir une accessibilité et une cohérence optimales, Collaborer étroitement avec les différentes équipes pour comprendre leurs besoins et proposer des solutions adaptées, Mettre en place des modèles prédictifs et des analyses avancées pour soutenir la prise de décision.",Option Carriere
199,Data Analyst,consort nt,Technology and IT Services,Rabat-Salé-Kénitra,"Power BI, Teams","Power BI, ITIL, Animation & conduite de réunion, Reporting, Pack Office, Teams, Messagerie","ISO 14001, ISO 27001, ISO 9001, Iso 20000","Communication, Esprit critique, Rigueur",Not Specified,2 ans,CDI,Bac +5,"Fournir des indicateurs, SLA et tableaux de bord, Réaliser des études et analyses, Analyser des tendances et projections de l'activité, Être en contact avec les SDM de QDS",google
200,Data Analyst,amendis,Healthcare,Tanger-Tétouan-Al Hoceima,Not Specified,Not Specified,,"Communication, Esprit critique",Not Specified,Not Specified,CDI,Not Specified,"Recueillir et extraire les données à partir des différentes sources, Créer les rapports et les tableaux de bords, Vérifier les remontés des données vers les Datamarts, Participer à l’enrichissement des entrepôts des données, Assurer le Reporting des arrêtés mensuels, Collaborer avec les équipes pour comprendre les besoins en matière de données et fournir des solutions, Organiser et structurer les données, Nettoyer les bases de données pour éliminer les données inutiles, Développer et mettre en œuvre des modèles d’apprentissage automatique personnalisés pour l’analyse prédictive, Déployer des modèles ML en tant que services web via des API, Mise en place d’un pipeline pour automatiser l’utilisation des algorithmes de ML, Assurer la qualité des prédictions et de l’analyse prédictive.",indeed
201,Data Analyst,sorec,Recruitment,Rabat-Salé-Kénitra,Not Specified,Not Specified,,"Communication, Esprit critique",French,0 ans,STAGE,Bac +4,analyser des données marketing.,Rekrute
202,Data Analyst,sorec,Recruitment,Rabat-Salé-Kénitra,"Power BI, Tableau","BI, Power BI, Visualisations, Analyse, Tableau de bord, Automatisation",,"Animation, Conduite de réunion, Esprit d’équipe, Sens du service",French,Not Specified,NOT SPECIFIED,Bac +5,"Collecter les données, Nettoyer et préparer les données, Analyser les données, Créer le tableau de bord, Automatisation des rapports",google
203,Data Analyst,n-business,Services,Rabat-Salé-Kénitra,Power BI,"Power BI, analyse de données, gestion de bases de données, résolution de problèmes, communication, collaboration",,Collaboration,Not Specified,0 ans,STAGE,Bac +5,"Collecter les données, Nettoyer et préparer les données, Analyser les données, Créer le tableau de bord, Automatisation des rapports",Option Carriere
204,Data Analyst,l’oréal maroc,Food and Beverage,Casablanca-Settat,"Excel, SQL","Excel, SQL, data visualization software",,Not Specified,Not Specified,0 ans,STAGE,Bac +5,"Conduct in-depth data analysis using various tools and techniques, Develop and maintain data visualizations to effectively communicate findings, Collaborate with cross-functional teams to identify and solve data-related challenges, Support data-driven decision-making by providing actionable insights",google
205,Data Analyst,segula technologies,Technology and IT Services,Casablanca-Settat,"Excel, SQL, Power BI, Tableau, Python","Excel, SQL, Power BI, Tableau, Python",,"Communication, Collaboration, Problem solving",Not Specified,0 ans,STAGE,Not Specified,"Formation approfondie sur l’analyse et la visualisation de données, Travailler sur des projets stratégiques qui influencent la prise de décision au sein de l’entreprise, Accès à des outils professionnels pour l’analyse et la gestion des données.",Option Carriere
206,Data Analyst,digital virgo,Technology and IT Services,Casablanca-Settat,"Excel, SQL, Python, Tableau, Looker","Excel, SQL, Python, Tableau, Looker",,"Communication, Collaboration, Problem solving, Adaptability, Organisation, Autonomy",Not Specified,0 ans,NOT SPECIFIED,Bac +5,"Participer à l’extraction et l’organisation des données à partir de diverses sources, Réaliser des analyses quantitatives et qualitatives pour identifier des tendances et des opportunités, Mettre en place des tableaux de bord et des rapports permettant de suivre des KPIs clés, Créer des visualisations de données percutantes via des outils comme Tableau ou Looker Studio, Automatiser la génération des rapports pour faciliter la prise de décision, Proposer des optimisations et recommandations basées sur les analyses effectuées, Contribuer à la modélisation de prévisions et au suivi des actions business.",indeed
207,Data Analyst,digital virgo,Technology and IT Services,Casablanca-Settat,"SQL, Excel, Python","SQL, Excel, Python",,"Communication, Interpersonal skills, Problem solving",Not Specified,0 ans,STAGE,Not Specified,"collect data, process data, analyze data, build dashboards, generate reports, support decision-making, identify trends, optimize processes, automate reports.",Glassdoor
208,Data Analyst,segula technologies,Technology and IT Services,Casablanca-Settat,"Power BI, Excel","Data Analyst, Power BI, Excel, Data, Master.",,"Teamwork, Engagement, Responsibility, Communication, Ambition",Not Specified,0 ans,STAGE,Bac +5,"Rassembler des données provenant de différentes sources, Analyser les données pour identifier des tendances anomalies ou corrélations, Construire des visualisations claires et dynamiques sur Power BI, Mettre en place des tableaux de bord interactifs pour suivre des indicateurs clés de performance en temps réel, Automatiser les processus de reporting pour gagner en efficacité, Identifier des opportunités d’optimisation dans les flux de données et les processus métier.",Option Carriere
209,Data Analyst,dxc - cdg,Technology and IT Services,Casablanca-Settat,"Python, TensorFlow, PyTorch, NLP, SQL, Snowflake, AWS Redshift, DataOps, AWS, Microsoft","Python, TensorFlow, PyTorch, NLP, SQL, Snowflake, AWS Redshift, DataOps, AWS, Microsoft","AWS, Microsoft","Communication, Initiative, Proactivity, Analysis, Critical thinking, Detail-oriented, Rigor, Curiosity, Learning, Listening, Teamwork, Autonomy, Organization","English, French",5 ans,NOT SPECIFIED,Bac +5,"Recherche et innovation, Développement et mise en œuvre, Évaluation et validation, Collaboration, Modélisation et architecture de données, Développement ETL, Gestion des bases de données, Transformation des données, Gestion managériale, Conception technique, Qualité et gouvernance, Optimisation des processus",Dreamjob
210,Data Analyst,agence française de développement,Services,Rabat-Salé-Kénitra,"Python, SQL, Excel, VBA","Python, SQL, Excel, VBA, ERP, BI",,Not Specified,"French, English",4 ans,CDI,Bac +3,"Collecter et consolider les données (Support, Académique, Recherche & Développement) provenant de différentes sources de données, Analyser les données et identifier les écarts et les anomalies, Développer et maintenir des modèles de traitement, d'analyse et de fiabilisation des données automatiques, Mettre en place des matrices analytiques de référence permettant les analyses académiques et financières, Mettre en place des outils de contrôle et d'amélioration continue, Suivi des indicateurs de pilotage de la performance, Participer à l'identification de nouveaux indicateurs de performance et contribuer à leur mise en oeuvre, Consolider les données budgétaires des différentes entités et produire les tableaux de bord, Analyser et mesurer la performance, qualitative et quantitative, académique et financière, Contribuer à l'actualisation et l'amélioration des KPIs produits sous Power BI, Automatiser la production des indicateurs, Communiquer efficacement avec les différentes parties prenantes, Assurer l'interface entre les différentes entités et la Direction de Pilotage, Préparer des reportings et des présentations destinées aux instances de gouver-nance, Produire et suivre les indicateurs liés à la performance/rentabilité des filières et aux coûts des formations, Participer aux réunions et présentations pour présenter les analyses effectuées et fournir des recommandations, Contribuer activement au suivi de la mise en oeuvre de la stratégie de l'université, Participer à la production des indicateurs de suivi stratégique, Participer aux projets de mise en place de gouvernance DATA et des solutions BI appropriées pour l'analyse de données, en tenant compte des besoins spécifiques de l'université.",Option Carriere
211,Data Analyst,trusted advisors,Consulting,Casablanca-Settat,Not Specified,Not Specified,,"Esprit d’équipe, Sens d'organisation, Sens d'analyse, Besoin de réflexion, Besoin d'autonomie, Implication au travail",Not Specified,Not Specified,NOT SPECIFIED,Not Specified,"Accompagner la Data Factory dans le process d'insertion des dashboards de pilotage, Proposer et développer une stratégie de test visant l'insertion rapide des dashboards développés, Mener les tests des dashboards produits avec le métier, Coordonner les travaux avec les différentes parties prenantes, Respecter les délais imposés par la DG, Fournir toute l'aide nécessaire pour accompagner la mise en place et l'insertion des Dashboards pour le métier.",indeed
212,Data Analyst,alten,Technology and IT Services,Fès-Meknès,Not Specified,Not Specified,,Collaboration,"English, French",0 ans,STAGE,Bac +5,analyser des données,Rekrute
213,Data Analyst,boston consulting group (bcg),Consulting,Casablanca-Settat,Not Specified,Not Specified,,"Teamwork, Communication, Organisation","English, French",0 ans,NOT SPECIFIED,Not Specified,Not Specified,indeed
214,Data Analyst,boston consulting group (bcg),Consulting,Casablanca-Settat,Not Specified,Not Specified,,"Coordination, Communication, Project management, Agile methodology",French,0 ans,NOT SPECIFIED,Not Specified,Not Specified,linkedin
215,Data Analyst,smollan north africa,Packaging,Casablanca-Settat,"Excel, PowerBI, Python, VBA","Excel, PowerBI, Python, VBA",,Flexible,Not Specified,0 ans,STAGE,Not Specified,"analyzing data, creating reports, using tools like Excel, PowerBI, Python, and VBA",Glassdoor
216,Data Analyst,société générale maroc,Financial Services,Casablanca-Settat,"Excel, SQL, Power BI, Tableau, Python","Excel, SQL, Power BI, Tableau, Python",,Collaboration,Not Specified,0 ans,NOT SPECIFIED,Bac +5,"Collecter, structurer et nettoyer les données, Réaliser des analyses approfondies, Interpréter les résultats, Concevoir des tableaux de bord interactifs, Développer des indicateurs de performance clés (KPI), Présenter les analyses, Collaborer avec les équipes métiers, Contribuer à l’amélioration des modèles, Participer à des études de marché, Exploiter SQL pour extraire et manipuler des données, Utiliser Python pour des analyses avancées, Améliorer les processus existants",indeed
217,Data Analyst,immobilier,Financial Services,Rabat-Salé-Kénitra,"Google Ads, Facebook Ads, Google Analytics, SEMrush, tableaux, KPI, A/B","Google Ads, Facebook Ads, Google Analytics, SEMrush, tableaux de bord, indicateurs clés de performance (KPI), analyse de données, tests A/B",,Collaboration,Not Specified,0 ans,STAGE,Not Specified,"Collecter et analyser les données des campagnes marketing, Créer des rapports de performance des campagnes, Segmenter les audiences et analyser les données comportementales, Aider à la création de tableaux de bord et d'indicateurs clés de performance (KPI), Apporter un soutien dans l’analyse des données clients et la mise en place de tests A/B.",indeed
218,Data Analyst,le montassier group,Services,Rabat-Salé-Kénitra,Not Specified,Not Specified,,Communication,"English, French",0 ans,NOT SPECIFIED,Not Specified,"Recueil et extraction des sources de données et traduire en données statistiques, Traitement, exploitation et intégration des données dans un data Warehouse (entrepôt de données), Création de dashboards, mise en place de ICP (indicateur clé de performance) et reporting des performances, Mise en place de process/requêtes et automatisation, Production d’analyses métiers et de recommandations aux managers, Gestion des outils d’analyses pour que les décideurs internes et les clients puissent suivre l’évolution de leurs produits, Veille technologique des nouveaux outils visant à améliorer l’analyse des données.",google
219,Data Analyst,cac (centrale automobile chérifienne),Automotive,Casablanca-Settat,Not Specified,Not Specified,,"Communication, Teamwork, Adaptability",Not Specified,0 ans,STAGE,Bac +5,"analyser des données, soutenir les décisions stratégiques",Rekrute
220,Data Analyst,deloitte,Consulting,Casablanca-Settat,"C++, MATLAB, LabVIEW","- Must be proficient in C++ programming
- Familiarity with MATLAB and LabVIEW is a plus
- Strong problem-solving skills
- Ability to work in a team environment",,Teamwork,Not Specified,Not Specified,CDI,Not Specified,"- Collect and analyze data
- Build machine learning models
- Develop data pipelines
- Collaborate with cross-functional teams",Glassdoor
221,Data Analyst,cih bank,Financial Services,Casablanca-Settat,"SQL, Tableau, Power BI","SQL, BI, Tableau, Power BI, statistiques, analyse de données",,"Communication, Rigor, Prioritization, Analytical skills",Not Specified,1 an,NOT SPECIFIED,Not Specified,"analyser les données pour la Connaissance des clients, Créer les Dashboards de performance, Gérer les campagnes de Marketing Direct",google
222,Data Analyst,cih bank,Financial Services,Casablanca-Settat,"SQL, Tableau, Power BI","SQL, BI, Tableau, Power BI",,Not Specified,Not Specified,0 ans,CDI,Not Specified,"Analyser les données pour la Connaissance des clients, Créer les Dashboards de performance, Gérer les campagnes de Marketing Direct.",indeed
223,Data Analyst,trusted advisors,Consulting,Casablanca-Settat,Not Specified,Not Specified,,Not Specified,Not Specified,Not Specified,NOT SPECIFIED,Not Specified,"développer des modèles, analyser des données, réaliser du planning du projet, gérer des priorités, piloter et coordonner des tâches et des intervenants du projet, formaliser des documents, conduire des tests, faire des compte-rendus, faire des présentations",Jobrapido
224,Data Analyst,avl maroc sarl au,Automotive,Rabat-Salé-Kénitra,Python,"Python, data orchestration tools, containerization technologies, data storage solutions, data visualization tools, problem-solving skills",,Communication,Not Specified,Not Specified,NOT SPECIFIED,Bac +5,"Analyse des besoins en données, Développer et entretenir des flux de données, Implémenter et gérer des solutions de stockage de données, Déployer et superviser l'infrastructure de données, Créer des outils de visualisation et de reporting de données, Rester à jour avec les technologies émergentes, Participer aux révisions de code et fournir des retours constructifs aux autres développeurs.",google
225,Data Analyst,avl maroc sarl au,Automotive,Casablanca-Settat,Python,"Python, data orchestration tools, containerization technologies, container orchestration, data storage solutions, search engines, data visualization dashboards, problem-solving skills",,Communication,Not Specified,Not Specified,PERMANENT,Bac +5,"Analyse data requirements and translate them into Python functions, Develop and maintain data workflows, Implement and manage data storage solutions, Deploy and oversee data infrastructure, Create data visualization and reporting tools, Stay current with emerging technologies, Participate in code reviews and provide constructive feedback to other developers.",indeed
226,Data Analyst,avl maroc sarl au,Automotive,Rabat-Salé-Kénitra,Not Specified,Not Specified,,Communication,French,Not Specified,NOT SPECIFIED,Not Specified,Not Specified,Jobrapido
227,Data Consultant,alithya,Technology and IT Services,Casablanca-Settat,"SQL, ETL, Microsoft Fabric, T-SQL, DAX, PySpark, SQL Server, Azure Data Lake, Azure Synapse, SSIS, Azure Data Factory, Databricks, Power BI, SSAS, SSRS, Excel","SQL, ETL, data modelling, Microsoft Fabric, T-SQL, DAX, PySpark, SQL Server, Azure Data Lake, Azure Synapse, SSIS, Azure Data Factory, Databricks, Fabric/Power BI, SSAS, SSRS, Excel",,"Problem solving, Communication, Openness, Passion, Trust",Not Specified,Not Specified,NOT SPECIFIED,Bac +5,"Participate in requirements gathering sessions, Identify and implement KPIs, measures, dimensions, and other key business drivers to run and improve the client’s overall business, Determine data and analytical requirements by analyzing client operations and applications, Review objectives, key business metrics, and enterprise reporting requirements with clients, Evaluate current systems and help define the architecture/ETL strategies to move data from heterogeneous source systems to a data warehouse and make that data accessible through various reporting applications (e.g., Fabric), Define processes to ensure that the client’s business objectives are met by the proposed data architecture and design, Lead the data design and integration effort, including data sourcing and transformation, Play a key role in developing advanced data and analytical solutions.",linkedin
228,Data Analyst,ibm,Technology and IT Services,Casablanca-Settat,Not Specified,Not Specified,,"Problem solving, Communication, Openness, Passion, Trust",Not Specified,5 ans,NOT SPECIFIED,Not Specified,"- Provide technical thought leadership and solution expertise around emerging Data analytics technologies
- Responsible for solution outline and design for data analytics process, including Reporting analytics
- Design end to end Data analytics processes across multiple platforms with extensive experience on scalable data repositories
- Demonstrate hands-on expertise in creating data services solutions for clients
- Create best of breed end-to-end solutions leveraging Cloud and traditional data platform offerings
- Operate independently and effectively within cross-functional teams
- Manage multiple projects and timeframes in a complex organizational structure
- Analyze information, synthesize problems and develop innovative solutions and strategies
- Perform data analysis & hands-on experience to access and analyze commercial data",google
229,Business Analyst,orange business,Technology and IT Services,Casablanca-Settat,"Power BI, Alteryx","Power BI, Alteryx, Data analysis, Communication, Interpersonal skills",,Not Specified,Not Specified,Not Specified,NOT SPECIFIED,Bac +3,"Centralized Analysis and Reporting, Controlling Support, Guidance and Support for the Finance Community, Support Finance Transformation & Innovation",google
230,Data Analyst,novancy one,Consulting,Casablanca-Settat,Not Specified,Not Specified,,Not Specified,Not Specified,Not Specified,FREELANCE,Not Specified,"Fournir un appui analytique à la conduite d'exploration et à l'analyse complexe de données, Créer des algorithmes de recherche de données qui permettent d'explorer les données utiles, Procéder à l'industrialisation du procédé pour les données les plus intéressantes, Organiser, synthétiser et traduire les informations pour faciliter la prise de décision, Gérer les opérations et l'administration, la modélisation et l'architecture des gisements de données, S'assurer que les bases de données existantes fonctionnent bien et en cohérence.",Option Carriere
231,Data Analyst,te connectivity,Technology and IT Services,Tanger-Tétouan-Al Hoceima,"SAP, Power BI","SAP, Power BI, data analysis, process optimization, continuous improvement",,"Autonomie, Réflexion, Ambition, Implication",Not Specified,3 ans,CDI,Bac +3,"Extract data from SAP systems, Develop and maintain Power BI dashboards, Identify trends and opportunities for process improvement, Generate and present reports, Collaborate with production, quality, and supply chain teams, Automate data collection and reporting processes, Ensure data integrity, security, and compliance.",Option Carriere
